subjectid,flanker_rt,flanker_accuracy,flanker_error_rate,stroop_rt,stroop_accuracy,stroop_error_rate,sart_rt,sart_accuracy,sart_error_rate,stroop_rt_std,stroop_rt_mean_recalc,stroop_rt_median,stroop_congruent_rt,stroop_incongruent_rt,stroop_interference,flanker_rt_std,flanker_rt_mean_recalc,flanker_rt_median,flanker_congruent_rt,flanker_incongruent_rt,flanker_interference
84,1169.8592592592593,0.2962962962962963,0.7037037037037037,646.8854166666666,0.2395833333333333,0.7604166666666666,552.2083333333334,0.875,0.125,432.90442491007104,608.1739130434783,478.0,671.0714285714286,510.3333333333333,-160.73809523809524,409.92012667885706,629.55,470.5,613.6190476190476,647.1578947368421,33.53884711779449
85,476.00689655172414,1.0,0.0,906.4604316546764,1.0,0.0,301.7081339712919,0.9330143540669856,0.0669856459330143,340.32645291385893,914.8571428571429,879.0,838.8428571428572,990.8714285714286,152.02857142857147,82.32637424635999,476.00689655172414,461.0,452.7671232876712,499.56944444444446,46.802321156773246
86,645.248275862069,0.9586206896551724,0.0413793103448275,810.0071942446043,0.9784172661870504,0.0215827338129496,394.5,0.9444444444444444,0.0555555555555555,342.9810953584661,821.7080291970802,738.0,746.768115942029,897.75,150.981884057971,202.4216931609911,616.3309352517986,556.0,599.9130434782609,632.5142857142857,32.60124223602486
87,455.5103448275862,0.9793103448275862,0.0206896551724138,932.0359712230216,0.9712230215827338,0.0287769784172662,369.71844660194176,0.9514563106796116,0.0485436893203883,408.2358013439177,940.2794117647059,866.5,822.2173913043479,1061.865671641791,239.64828033744323,139.54293656699247,457.84507042253523,441.5,433.0833333333333,483.3142857142857,50.230952380952374
88,403.2758620689655,0.9793103448275862,0.0206896551724138,579.6035714285714,0.9642857142857144,0.0357142857142857,402.4602409638554,0.9614457831325302,0.0385542168674698,205.9314253537588,580.0518518518519,536.0,533.0948905109489,628.421052631579,95.3261621206301,75.57410225117152,403.86619718309856,390.5,385.1756756756757,424.20588235294116,39.03020667726548
89,451.151724137931,1.0,0.0,735.3649635036496,0.927007299270073,0.072992700729927,326.8606965174129,0.9402985074626866,0.0597014925373133,300.3928274363319,748.8217054263566,670.0,726.123076923077,771.875,45.75192307692305,74.11162105553302,451.151724137931,438.0,422.1666666666667,479.73972602739724,57.573059360730554
90,428.0413793103448,1.0,0.0,706.3142857142857,0.95,0.05,381.9656862745098,0.965686274509804,0.034313725490196,249.3593653216038,702.1428571428571,645.0,653.1194029850747,751.9090909090909,98.78968792401622,62.874199339067026,428.04137931034484,418.0,414.4594594594595,442.19718309859155,27.73772363913207
91,397.2344827586207,0.9724137931034482,0.0275862068965517,582.2071428571429,0.8928571428571429,0.1071428571428571,408.171568627451,0.9362745098039216,0.0637254901960784,175.95280598923068,579.072,552.0,544.3709677419355,613.2222222222222,68.85125448028668,121.76418861545187,397.5744680851064,376.0,380.2638888888889,415.6376811594203,35.373792270531396
92,397.6758620689655,1.0,0.0,659.0652173913044,0.927536231884058,0.072463768115942,421.7107843137255,0.9754901960784312,0.0245098039215686,252.0410252631458,665.6046511627907,614.0,633.5692307692308,698.140625,64.57139423076922,87.93865307690832,397.6758620689655,381.0,379.0833333333333,416.013698630137,36.9303652968037
93,391.21379310344827,0.9793103448275862,0.0206896551724138,546.4,0.9428571428571428,0.0571428571428571,282.5619047619048,0.919047619047619,0.080952380952381,153.48021966330802,542.6136363636364,508.0,530.0588235294117,555.953125,25.89430147058829,102.10765142863538,391.59859154929575,370.5,360.42857142857144,421.90277777777777,61.47420634920633
